size,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5
50,0.02043800/10,0.01485700/10,0.01649600/10,0.01250300/10,0.01435900/10,0.01884200/10,0.01516600/10,0.01684000/10,0.01250500/10,0.01310100/10,0.01313300/9,0.01390100/8,0.01272900/9,0.00865700/5,0.00292400/2,0.00772500/5,0.00481300/3,0.00135900/1,0.00000000/0,0.00000000/0,0.00000000/0
100,0.02128700/10,0.01308500/10,0.01879600/10,0.01272900/10,0.01451400/10,0.01831400/10,0.02338400/10,0.01531500/10,0.01469100/10,0.01834500/10,0.01667900/9,0.01943800/10,0.01636700/8,0.01021700/6,0.00138100/1,0.00998200/3,0.00000000/0,0.00000000/0,0.00253800/1,0.00000000/0,0.00000000/0
150,0.01519400/10,0.01365400/10,0.02192200/10,0.01712100/10,0.02151500/10,0.01936400/10,0.02262700/10,0.02108900/10,0.02212100/10,0.04130200/10,0.10900500/9,0.04994900/8,0.02942600/6,0.01674600/2,0.05795400/4,0.00904300/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00698100/1
200,0.01523200/10,0.02228900/10,0.02068400/10,0.02047500/10,0.02396400/10,0.02168000/10,0.03266700/10,0.03473000/10,0.08351800/10,0.07414700/10,0.49829100/8,0.62483600/10,0.74896900/8,0.16925400/3,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
250,0.02013800/10,0.01792400/10,0.02085500/10,0.03073400/10,0.02058500/10,0.02697200/10,0.03361600/10,0.14543800/10,0.21894600/10,0.13383000/10,1.56705500/10,7.78599000/9,4.37184700/5,0.60624600/1,0.41433600/1,3.46387000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
300,0.02173200/10,0.02035300/10,0.02772000/10,0.03139400/10,0.02756600/10,0.03807200/10,0.09065900/10,0.21642700/10,1.41907800/10,0.83735600/10,15.46538800/10,19.72109200/10,19.63953800/7,31.80784000/2,22.09180000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
350,0.02711500/10,0.02217600/10,0.02958500/10,0.03805000/10,0.03323100/10,0.05286000/10,0.11512400/10,0.27040900/10,2.44978300/10,2.98769100/10,47.35573200/10,372.47734900/10,431.07209000/5,91.16200000/2,119.92260000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
400,0.02483100/10,0.02948300/10,0.02974400/10,0.03749000/10,0.06011900/10,0.08085700/10,0.39559300/10,0.84020200/10,1.88114300/10,20.38142100/10,446.20332500/10,430.78656600/9,1389.05230000/6,2755.58940000/4,610.07000000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
450,0.03321100/10,0.04297000/10,0.03918300/10,0.04481600/10,0.08110000/10,0.13816600/10,0.19943600/10,1.34743700/10,50.02883000/10,50.36676800/10,716.28403800/9,847.26001000/8,137.20970000/2,685.25600000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
500,0.02806200/10,0.03379900/10,0.03661600/10,0.04309200/10,0.06985800/10,0.07955400/10,1.13737400/10,5.15644000/10,115.67864600/10,727.50189700/10,1522.21838000/9,1052.54690000/4,3743.46920000/5,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
