size,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5
50,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.13900000/1,0.28100000/2,0.14100000/1,0.69100000/5,1.12900000/8,0.69100000/5,0.98200000/7,1.26000000/9,1.37000000/10,1.24900000/10,1.17300000/10
100,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.15500000/1,0.00000000/0,0.31900000/2,0.63500000/4,1.47200000/9,1.09600000/7,1.55500000/10,1.54300000/10,1.37100000/9,1.56200000/10,1.56300000/10
150,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.54900000/1,0.63600000/2,1.38200000/4,2.47500000/8,1.69400000/6,1.97800000/8,2.65800000/10,2.38800000/10,2.29700000/10,2.08700000/10,1.90400000/9
200,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,16.21000000/2,0.00000000/0,6.02000000/2,12.64700000/7,14.15300000/10,11.55400000/10,10.54300000/10,9.12900000/10,5.33000000/10,5.56700000/10,4.69400000/10
250,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,19.73600000/1,93.28200000/5,140.21700000/9,141.59300000/9,72.67400000/9,52.39500000/10,56.20500000/10,39.76800000/10,28.77500000/10,32.06900000/10
300,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,1025.17300000/3,3055.14100000/8,1610.84500000/9,1562.52700000/10,1164.90100000/10,1037.42800000/10,317.07500000/10,222.40000000/10,167.99200000/10
350,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,6087.14900000/4,5104.83500000/4,6268.42400000/8,3175.81200000/8,3466.08600000/10,2672.14500000/10,1840.38500000/10
400,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,2090.58100000/2,0.00000000/0,2421.01800000/2,5916.60600000/7
450,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
500,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
