file,component,Minimal time,Solve time,CPU Time
c2670-29.txt.txt,41,0.003128,0.006699,0.01729
c2670-78.txt.txt,38,0.001699,0.004754,0.014612
c2670-68.txt.txt,40,0.001826,0.003869,0.015118
c2670-65.txt.txt,31,0.002477,0.005369,0.013965
c2670-42.txt.txt,33,0.001323,0.003169,0.013018
c2670-20.txt.txt,37,0.001535,0.004863,0.017858
c2670-18.txt.txt,39,0.001361,0.003890,0.018894
c2670-47.txt.txt,23,0.002380,0.004638,0.014152
c2670-66.txt.txt,30,0.001840,0.004273,0.014767
c2670-90.txt.txt,39,0.005190,0.007862,0.018456
c2670-72.txt.txt,17,0.008897,0.013294,0.0228
c2670-54.txt.txt,35,0.002300,0.005389,0.016283
c2670-92.txt.txt,35,0.001854,0.003828,0.014362
c2670-84.txt.txt,37,0.001890,0.004198,0.014497
c2670-45.txt.txt,27,0.002625,0.005227,0.015713
c2670-53.txt.txt,31,0.003055,0.005411,0.015028
c2670-75.txt.txt,31,0.001539,0.004471,0.013987
c2670-1.txt.txt,39,0.002279,0.004193,0.013641
c2670-16.txt.txt,35,0.000861,0.002679,0.013608
c2670-85.txt.txt,25,0.004955,0.008473,0.017894
c2670-97.txt.txt,34,0.001565,0.005270,0.015038
c2670-63.txt.txt,31,0.002197,0.004651,0.013975
c2670-31.txt.txt,24,0.005247,0.008886,0.017579
c2670-89.txt.txt,41,0.001823,0.004194,0.015001
c2670-57.txt.txt,36,0.002366,0.005393,0.016046
c2670-64.txt.txt,23,0.001774,0.004753,0.014549
c2670-51.txt.txt,27,0.001404,0.003456,0.014045
c2670-86.txt.txt,21,0.010788,0.014659,0.025342
c2670-37.txt.txt,18,0.013988,0.020454,0.035121
c2670-70.txt.txt,33,0.000870,0.002641,0.013188
c2670-38.txt.txt,40,0.000839,0.002857,0.013695
c2670-3.txt.txt,38,0.000839,0.002639,0.013251
c2670-43.txt.txt,40,0.003193,0.005621,0.016013
c2670-40.txt.txt,23,0.002772,0.004756,0.014352
