file,component,Minimal time,Solve time,CPU Time
62OBS.txt.txt,3,0.000103,0.000356,0.00289
83OBS.txt.txt,4,0.000520,0.000706,0.002494
17OBS.txt.txt,8,0.000448,0.000760,0.003265
26OBS.txt.txt,2,0.000103,0.000333,0.002876
96OBS.txt.txt,2,0.000187,0.000509,0.003058
49OBS.txt.txt,7,0.001250,0.001767,0.00404
64OBS.txt.txt,2,0.000213,0.000508,0.002179
51OBS.txt.txt,2,0.000107,0.000330,0.00276
88OBS.txt.txt,2,0.000179,0.000413,0.002824
45OBS.txt.txt,2,0.000110,0.000338,0.002882
85OBS.txt.txt,8,0.000851,0.001135,0.002536
37OBS.txt.txt,2,0.000885,0.001168,0.003626
11OBS.txt.txt,5,0.000180,0.000406,0.001866
74OBS.txt.txt,2,0.000110,0.000358,0.002835
97OBS.txt.txt,0,0.000184,0.000424,0.004037
18OBS.txt.txt,5,0.000784,0.000975,0.002632
98OBS.txt.txt,4,0.000255,0.000654,0.00334
99OBS.txt.txt,4,0.001013,0.001294,0.003803
21OBS.txt.txt,5,0.000529,0.000814,0.003268
12OBS.txt.txt,1,0.000109,0.000347,0.002766
40OBS.txt.txt,4,0.000176,0.000409,0.001815
80OBS.txt.txt,7,0.001244,0.001650,0.004503
70OBS.txt.txt,3,0.000106,0.000339,0.001732
38OBS.txt.txt,3,0.000111,0.000364,0.003146
92OBS.txt.txt,4,0.000104,0.000347,0.002951
68OBS.txt.txt,1,0.000061,0.000137,0.001117
15OBS.txt.txt,4,0.000795,0.001081,0.002503
33OBS.txt.txt,6,0.000175,0.000414,0.001837
75OBS.txt.txt,1,0.000352,0.000773,0.003714
87OBS.txt.txt,4,0.000625,0.000911,0.003371
23OBS.txt.txt,2,0.000575,0.001029,0.003391
93OBS.txt.txt,2,0.000176,0.000421,0.002837
61OBS.txt.txt,3,0.000901,0.001185,0.003643
24OBS.txt.txt,7,0.000788,0.001076,0.003549
84OBS.txt.txt,2,0.000105,0.000361,0.002796
42OBS.txt.txt,2,0.000181,0.000441,0.00294
22OBS.txt.txt,6,0.001012,0.001323,0.003817
10OBS.txt.txt,2,0.001146,0.001452,0.002845
28OBS.txt.txt,4,0.000972,0.001080,0.001931
73OBS.txt.txt,3,0.000787,0.000976,0.002672
60OBS.txt.txt,9,,,0
4OBS.txt.txt,6,0.000468,0.000730,0.002136
86OBS.txt.txt,3,0.000726,0.001143,0.003225
5OBS.txt.txt,3,0.001014,0.001300,0.002711
94OBS.txt.txt,4,0.000201,0.000443,0.002989
81OBS.txt.txt,5,0.001736,0.002229,0.006158
25OBS.txt.txt,2,0.000193,0.000444,0.003049
48OBS.txt.txt,6,0.000861,0.001325,0.005241
41OBS.txt.txt,3,0.000272,0.000641,0.001872
39OBS.txt.txt,4,0.000124,0.000401,0.003149
16OBS.txt.txt,2,0.000111,0.000343,0.001738
36OBS.txt.txt,3,0.000182,0.000422,0.001812
14OBS.txt.txt,3,0.000847,0.000939,0.001784
72OBS.txt.txt,4,0.000872,0.001205,0.003709
67OBS.txt.txt,11,0.000128,0.000393,0.001861
1OBS.txt.txt,6,0.000254,0.000511,0.002928
50OBS.txt.txt,6,0.000959,0.001056,0.0019
91OBS.txt.txt,2,0.000173,0.000420,0.00166
58OBS.txt.txt,6,0.000577,0.001066,0.004744
71OBS.txt.txt,5,0.000412,0.000670,0.003179
19OBS.txt.txt,5,0.000323,0.000606,0.001994
3OBS.txt.txt,16,0.000800,0.001089,0.002506
66OBS.txt.txt,9,0.001355,0.001642,0.00316
52OBS.txt.txt,6,0.000660,0.001070,0.003922
82OBS.txt.txt,3,0.000176,0.000340,0.002187
2OBS.txt.txt,2,0.001072,0.001355,0.002751
79OBS.txt.txt,3,0.000942,0.001271,0.004144
8OBS.txt.txt,0,0.000181,0.000428,0.002356
56OBS.txt.txt,12,0.000788,0.001078,0.002484
54OBS.txt.txt,0,0.000202,0.000460,0.002929
32OBS.txt.txt,2,0.000124,0.000393,0.002829
6OBS.txt.txt,4,0.000786,0.001272,0.004188
95OBS.txt.txt,9,0.000167,0.000559,0.002135
53OBS.txt.txt,4,0.000518,0.000795,0.002522
7OBS.txt.txt,4,0.000128,0.000358,0.00229
44OBS.txt.txt,6,0.001002,0.001377,0.003949
89OBS.txt.txt,2,0.000162,0.000553,0.004265
65OBS.txt.txt,2,0.000456,0.000754,0.003349
43OBS.txt.txt,0,0.000189,0.000432,0.002869
55OBS.txt.txt,8,0.000190,0.000467,0.003446
69OBS.txt.txt,4,0.000239,0.000323,0.001204
57OBS.txt.txt,8,0.000102,0.000331,0.001743
77OBS.txt.txt,4,0.001137,0.001378,0.003091
9OBS.txt.txt,5,0.000209,0.000383,0.002225
27OBS.txt.txt,4,0.000195,0.000433,0.002878
20OBS.txt.txt,2,0.000982,0.001219,0.003071
47OBS.txt.txt,6,0.001073,0.001390,0.003838
34OBS.txt.txt,4,0.000179,0.000592,0.004364
31OBS.txt.txt,2,0.000132,0.000370,0.00286
76OBS.txt.txt,7,0.000586,0.000967,0.002453
13OBS.txt.txt,2,0.000588,0.000885,0.003995
78OBS.txt.txt,3,0.001383,0.001678,0.004133
63OBS.txt.txt,1,0.000202,0.000439,0.002919
59OBS.txt.txt,4,0.000367,0.000661,0.003102
29OBS.txt.txt,2,0.000192,0.000589,0.004388
35OBS.txt.txt,2,0.000179,0.000412,0.001785
0OBS.txt.txt,8,0.000279,0.000567,0.003044
30OBS.txt.txt,2,0.000071,0.000225,0.001823
46OBS.txt.txt,7,0.000404,0.000495,0.001334
90OBS.txt.txt,2,0.000108,0.000395,0.002773
