dir,file,solver,type,time
,task.yaml,claspD,INTERRUPTED,0.0
result,170059081.cnf.txt,claspD,INTERRUPTED,0.0
result,size_5_5_5_i092_r12.cnf.txt,claspD,INTERRUPTED,0.0
result,170058143.cnf.txt,claspD,INTERRUPTED,0.0
result,preimage_80r_495m_160h_seed_379.cnf.txt,claspD,INTERRUPTED,0.0
result,schur-triples-7-60.cnf.txt,claspD,INTERRUPTED,0.0
result,170223547.cnf.txt,claspD,INTERRUPTED,0.0
result,sted3_0x1e3-147.cnf.txt,claspD,INTERRUPTED,0.0
result,dislog_a11_x11_n21.cnf.txt,claspD,INTERRUPTED,0.0
result,ncc_none_5047_6_3_3_3_0_435991723.cnf.txt,claspD,error,0.0
result,170105432.cnf.txt,claspD,INTERRUPTED,0.0
result,6g_5color_164_100_01.cnf.txt,claspD,error,0.0
result,170104584.cnf.txt,claspD,INTERRUPTED,0.0
result,4g_5color_166_100_02.cnf.txt,claspD,error,0.0
result,baseballcover13with25_and1positions.cnf.txt,claspD,INTERRUPTED,0.0
result,170154931.cnf.txt,claspD,INTERRUPTED,0.0
result,DLTM_twitter405_71_12.cnf.txt,claspD,SATISFIABLE,5758.804
result,vlsat2_34161_4607712.dimacs.cnf.txt,claspD,INTERRUPTED,0.0
result,170058440.cnf.txt,claspD,INTERRUPTED,0.0
result,DLTM_twitter690_74_16.cnf.txt,claspD,SATISFIABLE,6046.941
result,6g_5color_170_020_04.cnf.txt,claspD,INTERRUPTED,0.0
result,baseballcover13with25.cnf.txt,claspD,INTERRUPTED,0.0
result,Kakuro-easy-052-ext.xml.hg_4.cnf.txt,claspD,error,0.0
result,170059722.cnf.txt,claspD,INTERRUPTED,0.0
result,sted6_0x0-135.cnf.txt,claspD,INTERRUPTED,0.0
result,01-integer-programming-20-30-40.cnf.txt,claspD,INTERRUPTED,0.0
result,fermat-907547022132073.cnf.txt,claspD,SATISFIABLE,2217.032
result,Timetable_C_392_E_50_Cl_26_S_28.cnf.txt,claspD,error,0.0
result,170153306.cnf.txt,claspD,INTERRUPTED,0.0
result,dislog_a13_x13_n23.cnf.txt,claspD,INTERRUPTED,0.0
result,170222843.cnf.txt,claspD,INTERRUPTED,0.0
result,170055892.cnf.txt,claspD,INTERRUPTED,0.0
result,49-132779.cnf.txt,claspD,error,0.0
result,dislog_a09_x11_n20.cnf.txt,claspD,INTERRUPTED,0.0
result,170225812.cnf.txt,claspD,INTERRUPTED,0.0
result,53-129696.cnf.txt,claspD,INTERRUPTED,0.0
result,full-bg-gb-8-ce.cnf.txt,claspD,INTERRUPTED,0.0
result,combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,claspD,INTERRUPTED,0.0
result,170225515.cnf.txt,claspD,INTERRUPTED,0.0
result,combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,claspD,INTERRUPTED,0.0
result,53-131587.cnf.txt,claspD,INTERRUPTED,0.0
result,vlsat2_16676_1598591.dimacs.cnf.txt,claspD,INTERRUPTED,0.0
result,Kakuro-easy-120-ext.xml.hg_6.cnf.txt,claspD,error,0.0
result,Kakuro-easy-117-ext.xml.hg_5.cnf.txt,claspD,error,0.0
