dir,file,solver,type,time
,task.yaml,clingo,error,0.0
result,170059081.cnf.txt,clingo,INTERRUPTED,7166.316
result,size_5_5_5_i092_r12.cnf.txt,clingo,SATISFIABLE,285.508
result,170058143.cnf.txt,clingo,INTERRUPTED,7172.546
result,preimage_80r_495m_160h_seed_379.cnf.txt,clingo,SATISFIABLE,7153.625
result,schur-triples-7-60.cnf.txt,clingo,SATISFIABLE,5642.154
result,170223547.cnf.txt,clingo,INTERRUPTED,7176.773
result,sted3_0x1e3-147.cnf.txt,clingo,INTERRUPTED,7169.59
result,dislog_a11_x11_n21.cnf.txt,clingo,INTERRUPTED,7164.318
result,ncc_none_5047_6_3_3_3_0_435991723.cnf.txt,clingo,INTERRUPTED,7131.652
result,170105432.cnf.txt,clingo,INTERRUPTED,7167.853
result,6g_5color_164_100_01.cnf.txt,clingo,error,0.0
result,170104584.cnf.txt,clingo,INTERRUPTED,7166.914
result,4g_5color_166_100_02.cnf.txt,clingo,error,0.0
result,baseballcover13with25_and1positions.cnf.txt,clingo,INTERRUPTED,7169.173
result,170154931.cnf.txt,clingo,INTERRUPTED,7181.281
result,DLTM_twitter405_71_12.cnf.txt,clingo,SATISFIABLE,1498.386
result,vlsat2_34161_4607712.dimacs.cnf.txt,clingo,error,0.0
result,170058440.cnf.txt,clingo,SATISFIABLE,1276.513
result,DLTM_twitter690_74_16.cnf.txt,clingo,SATISFIABLE,5015.938
result,6g_5color_170_020_04.cnf.txt,clingo,INTERRUPTED,7168.542
result,baseballcover13with25.cnf.txt,clingo,error,0.0
result,Kakuro-easy-052-ext.xml.hg_4.cnf.txt,clingo,error,0.0
result,170059722.cnf.txt,clingo,INTERRUPTED,7179.021
result,sted6_0x0-135.cnf.txt,clingo,INTERRUPTED,6967.727
result,01-integer-programming-20-30-40.cnf.txt,clingo,INTERRUPTED,6409.201
result,fermat-907547022132073.cnf.txt,clingo,error,0.0
result,Timetable_C_392_E_50_Cl_26_S_28.cnf.txt,clingo,UNSATISFIABLE,43.9
result,170153306.cnf.txt,clingo,INTERRUPTED,7174.128
result,dislog_a13_x13_n23.cnf.txt,clingo,INTERRUPTED,7165.014
result,170222843.cnf.txt,clingo,INTERRUPTED,7174.04
result,170055892.cnf.txt,clingo,INTERRUPTED,7177.934
result,49-132779.cnf.txt,clingo,SATISFIABLE,1545.428
result,dislog_a09_x11_n20.cnf.txt,clingo,SATISFIABLE,4074.581
result,170225812.cnf.txt,clingo,INTERRUPTED,7171.225
result,53-129696.cnf.txt,clingo,INTERRUPTED,7172.707
result,full-bg-gb-8-ce.cnf.txt,clingo,INTERRUPTED,7162.564
result,combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,clingo,INTERRUPTED,7185.535
result,170225515.cnf.txt,clingo,INTERRUPTED,7160.571
result,combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,clingo,INTERRUPTED,7181.85
result,53-131587.cnf.txt,clingo,INTERRUPTED,7163.795
result,vlsat2_16676_1598591.dimacs.cnf.txt,clingo,INTERRUPTED,7163.071
result,Kakuro-easy-120-ext.xml.hg_6.cnf.txt,clingo,error,0.0
result,Kakuro-easy-117-ext.xml.hg_5.cnf.txt,clingo,error,0.0
data,170225812.cnf,clingo,error,0.0
data,53-129696.cnf,clingo,error,0.0
data,53-131587.cnf,clingo,error,0.0
data,170105432.cnf,clingo,error,0.0
data,dislog_a09_x11_n20.cnf,clingo,error,0.0
data,DLTM_twitter690_74_16.cnf,clingo,error,0.0
data,DLTM_twitter405_71_12.cnf,clingo,error,0.0
data,sted3_0x1e3-147.cnf,clingo,error,0.0
data,170222843.cnf,clingo,error,0.0
data,vlsat2_16676_1598591.dimacs.cnf,clingo,error,0.0
data,170104584.cnf,clingo,error,0.0
data,schur-triples-7-60.cnf,clingo,error,0.0
data,dislog_a11_x11_n21.cnf,clingo,error,0.0
data,170223547.cnf,clingo,error,0.0
data,Kakuro-easy-052-ext.xml.hg_4.cnf,clingo,error,0.0
data,baseballcover13with25.cnf,clingo,error,0.0
data,fermat-907547022132073.cnf,clingo,error,0.0
data,vlsat2_34161_4607712.dimacs.cnf,clingo,error,0.0
data,170058440.cnf,clingo,error,0.0
data,01-integer-programming-20-30-40.cnf,clingo,error,0.0
data,Kakuro-easy-120-ext.xml.hg_6.cnf,clingo,error,0.0
data,sted6_0x0-135.cnf,clingo,error,0.0
data,Kakuro-easy-117-ext.xml.hg_5.cnf,clingo,error,0.0
data,size_5_5_5_i092_r12.cnf,clingo,error,0.0
data,dislog_a13_x13_n23.cnf,clingo,error,0.0
data,ncc_none_5047_6_3_3_3_0_435991723.cnf,clingo,error,0.0
data,170225515.cnf,clingo,error,0.0
data,6g_5color_164_100_01.cnf,clingo,error,0.0
data,full-bg-gb-8-ce.cnf,clingo,error,0.0
data,6g_5color_170_020_04.cnf,clingo,error,0.0
data,170058143.cnf,clingo,error,0.0
data,baseballcover13with25_and1positions.cnf,clingo,error,0.0
data,preimage_80r_495m_160h_seed_379.cnf,clingo,error,0.0
data,Timetable_C_392_E_50_Cl_26_S_28.cnf,clingo,error,0.0
data,49-132779.cnf,clingo,error,0.0
data,170059722.cnf,clingo,error,0.0
data,170055892.cnf,clingo,error,0.0
data,170153306.cnf,clingo,error,0.0
data,170059081.cnf,clingo,error,0.0
