dir,file,solver,type,time
,task.yaml,MM,error,0.0
result,170059081.cnf.txt,MM,SATISFIABLE,358.744
result,size_5_5_5_i092_r12.cnf.txt,MM,INTERRUPTED,7197.92
result,170058143.cnf.txt,MM,INTERRUPTED,7199.11
result,preimage_80r_495m_160h_seed_379.cnf.txt,MM,SATISFIABLE,2282.93
result,schur-triples-7-60.cnf.txt,MM,INTERRUPTED,7189.11
result,170223547.cnf.txt,MM,SATISFIABLE,714.892
result,sted3_0x1e3-147.cnf.txt,MM,SATISFIABLE,4770.96
result,dislog_a11_x11_n21.cnf.txt,MM,SATISFIABLE,694.407
result,ncc_none_5047_6_3_3_3_0_435991723.cnf.txt,MM,error,0.0
result,170105432.cnf.txt,MM,SATISFIABLE,4226.06
result,6g_5color_164_100_01.cnf.txt,MM,SATISFIABLE,4249.57
result,170104584.cnf.txt,MM,SATISFIABLE,6454.26
result,4g_5color_166_100_02.cnf.txt,MM,SATISFIABLE,6610.01
result,baseballcover13with25_and1positions.cnf.txt,MM,SATISFIABLE,3762.14
result,170154931.cnf.txt,MM,INTERRUPTED,7199.99
result,DLTM_twitter405_71_12.cnf.txt,MM,SATISFIABLE,462.514
result,ncc_none_5047_6_3_3_3_0_435991723.cnfre.txt,MM,error,0.0
result,vlsat2_34161_4607712.dimacs.cnf.txt,MM,SATISFIABLE,7188.36
result,170058440.cnf.txt,MM,INTERRUPTED,7199.66
result,DLTM_twitter690_74_16.cnf.txt,MM,SATISFIABLE,706.334
result,6g_5color_170_020_04.cnf.txt,MM,INTERRUPTED,7189.13
result,baseballcover13with25.cnf.txt,MM,SATISFIABLE,3199.55
result,Kakuro-easy-052-ext.xml.hg_4.cnf.txt,MM,SATISFIABLE,220.827
result,170059722.cnf.txt,MM,SATISFIABLE,4275.99
result,sted6_0x0-135.cnf.txt,MM,INTERRUPTED,7197.17
result,01-integer-programming-20-30-40.cnf.txt,MM,INTERRUPTED,7199.41
result,fermat-907547022132073.cnf.txt,MM,INTERRUPTED,7198.84
result,Timetable_C_392_E_50_Cl_26_S_28.cnf.txt,MM,SATISFIABLE,1258.74
result,170153306.cnf.txt,MM,SATISFIABLE,6088.24
result,dislog_a13_x13_n23.cnf.txt,MM,error,0.0
result,170222843.cnf.txt,MM,SATISFIABLE,859.084
result,dislog_a13_x13_n23.cnfre.txt,MM,INTERRUPTED,7198.18
result,170055892.cnf.txt,MM,INTERRUPTED,7199.92
result,49-132779.cnf.txt,MM,INTERRUPTED,7198.26
result,dislog_a09_x11_n20.cnf.txt,MM,SATISFIABLE,967.011
result,170225812.cnf.txt,MM,SATISFIABLE,1334.4
result,53-129696.cnf.txt,MM,INTERRUPTED,7198.66
result,full-bg-gb-8-ce.cnf.txt,MM,INTERRUPTED,7192.19
result,combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,MM,INTERRUPTED,7198.95
result,170225515.cnf.txt,MM,INTERRUPTED,7181.64
result,combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,MM,INTERRUPTED,7199.6
result,53-131587.cnf.txt,MM,INTERRUPTED,7198.54
result,vlsat2_16676_1598591.dimacs.cnf.txt,MM,SATISFIABLE,1488.19
result,Kakuro-easy-120-ext.xml.hg_6.cnf.txt,MM,SATISFIABLE,3961.76
result,Kakuro-easy-117-ext.xml.hg_5.cnf.txt,MM,SATISFIABLE,6373.18
