dir,file,solver,type,time
,task.yaml,MR,error,0.0
result,170059081.cnf.txt,MR,error,0.0
result,size_5_5_5_i092_r12.cnf.txt,MR,INTERRUPTED,7199.42
result,170058143.cnf.txt,MR,INTERRUPTED,7199.73
result,4g_5color_166_100_02.cnfre.txt,MR,SATISFIABLE,6485.86
result,preimage_80r_495m_160h_seed_379.cnf.txt,MR,SATISFIABLE,0.0
result,schur-triples-7-60.cnf.txt,MR,INTERRUPTED,7187.28
result,170223547.cnf.txt,MR,SATISFIABLE,663.262
result,sted3_0x1e3-147.cnf.txt,MR,SATISFIABLE,4611.08
result,dislog_a11_x11_n21.cnf.txt,MR,SATISFIABLE,641.842
result,ncc_none_5047_6_3_3_3_0_435991723.cnf.txt,MR,INTERRUPTED,7196.56
result,170105432.cnf.txt,MR,SATISFIABLE,4217.49
result,6g_5color_164_100_01.cnf.txt,MR,SATISFIABLE,4097.32
result,170104584.cnf.txt,MR,SATISFIABLE,6680.5
result,4g_5color_166_100_02.cnf.txt,MR,error,0.0
result,baseballcover13with25_and1positions.cnf.txt,MR,INTERRUPTED,7197.23
result,170154931.cnf.txt,MR,INTERRUPTED,7179.78
result,DLTM_twitter405_71_12.cnf.txt,MR,SATISFIABLE,469.988
result,vlsat2_34161_4607712.dimacs.cnf.txt,MR,SATISFIABLE,7166.13
result,170058440.cnf.txt,MR,INTERRUPTED,7199.77
result,170153306.cnfre.txt,MR,SATISFIABLE,5584.56
result,DLTM_twitter690_74_16.cnf.txt,MR,SATISFIABLE,611.967
result,170055892.cnfre.txt,MR,INTERRUPTED,7199.93
result,6g_5color_170_020_04.cnf.txt,MR,INTERRUPTED,7190.32
result,baseballcover13with25.cnf.txt,MR,INTERRUPTED,7194.87
result,Kakuro-easy-052-ext.xml.hg_4.cnf.txt,MR,INTERRUPTED,7194.73
result,170059722.cnf.txt,MR,SATISFIABLE,4572.11
result,sted6_0x0-135.cnf.txt,MR,INTERRUPTED,7197.49
result,01-integer-programming-20-30-40.cnf.txt,MM,INTERRUPTED,7199.49
result,fermat-907547022132073.cnf.txt,MR,INTERRUPTED,7198.63
result,Timetable_C_392_E_50_Cl_26_S_28.cnf.txt,MR,INTERRUPTED,7171.32
result,170153306.cnf.txt,MR,error,0.0
result,dislog_a13_x13_n23.cnf.txt,MR,INTERRUPTED,7198.25
result,170222843.cnf.txt,MR,SATISFIABLE,813.126
result,170055892.cnf.txt,MR,error,0.0
result,49-132779.cnf.txt,MR,INTERRUPTED,7198.26
result,dislog_a09_x11_n20.cnf.txt,MR,SATISFIABLE,929.035
result,170225812.cnf.txt,MR,SATISFIABLE,1342.62
result,53-129696.cnf.txt,MR,INTERRUPTED,7198.88
result,full-bg-gb-8-ce.cnf.txt,MR,INTERRUPTED,7193.41
result,170059081.cnfre.txt,MR,SATISFIABLE,336.332
result,combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,MR,INTERRUPTED,7197.66
result,170225515.cnf.txt,MR,INTERRUPTED,7199.7
result,combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf.txt,MR,INTERRUPTED,7187.45
result,53-131587.cnf.txt,MR,INTERRUPTED,7198.51
result,vlsat2_16676_1598591.dimacs.cnf.txt,MR,SATISFIABLE,1549.38
result,Kakuro-easy-120-ext.xml.hg_6.cnf.txt,MR,INTERRUPTED,7191.83
result,Kakuro-easy-117-ext.xml.hg_5.cnf.txt,MR,INTERRUPTED,7197.24
