size,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5
50,0.01468400/10,0.02154200/10,0.01726000/10,0.01555200/10,0.01908700/10,0.01909300/10,0.02170700/10,0.02611700/10,0.01576300/10,0.02268300/10,0.01489400/9,0.01753400/8,0.02134800/9,0.01116700/5,0.00382500/2,0.00709700/5,0.00437300/3,0.00164100/1,0.00000000/0,0.00000000/0,0.00000000/0
100,0.03215300/10,0.03151500/10,0.02489500/10,0.03351900/10,0.03907700/10,0.03518100/10,0.03845300/10,0.03630700/10,0.04014200/10,0.05393200/10,0.05168200/9,0.04061100/10,0.04295700/8,0.03209100/6,0.00274900/1,0.01349100/3,0.00000000/0,0.00000000/0,0.00532400/1,0.00000000/0,0.00000000/0
150,0.04156900/10,0.04497600/10,0.06129200/10,0.05972000/10,0.06415500/10,0.06312800/10,0.06882500/10,0.07658700/10,0.07457600/10,0.09055400/10,0.15935800/9,0.09170900/8,0.06246800/6,0.01877300/2,0.06794500/4,0.02084800/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.01531700/1
200,0.06963300/10,0.08111700/10,0.09356100/10,0.07781200/10,0.10502600/10,0.08947800/10,0.14088600/10,0.15657900/10,0.17981900/10,0.17760000/10,0.58223000/8,0.70470100/10,0.85568000/8,0.19134600/3,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
250,0.07509100/10,0.10138300/10,0.13615000/10,0.14645000/10,0.16672300/10,0.14550600/10,0.19246700/10,0.35682500/10,0.48165800/10,0.32974400/10,1.85738100/10,8.05844300/9,4.66836200/5,0.61841200/1,0.42795500/1,3.36262000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
300,0.15950000/10,0.12877800/10,0.20231900/10,0.20335400/10,0.18909100/10,0.21877000/10,0.31442100/10,0.42186200/10,1.61185400/10,1.01484400/10,15.71615500/10,19.78215100/10,20.11483200/7,32.11949600/2,22.72860000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
350,0.14943800/10,0.17790100/10,0.23528000/10,0.25202300/10,0.30027500/10,0.31767300/10,0.44845900/10,0.54287100/10,2.73849200/10,3.41906700/10,48.67284600/10,395.24813300/10,443.76480000/5,88.79820000/2,120.97970000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
400,0.12898800/10,0.18518600/10,0.16260700/10,0.23041000/10,0.23566100/10,0.28873100/10,0.52875100/10,0.81665300/10,2.07346300/10,20.65986000/10,481.06340800/10,390.09799000/9,1449.05330000/6,2906.07060000/4,595.25500000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
450,0.23796500/10,0.38154600/10,0.40452200/10,0.48535600/10,0.62779000/10,0.66487000/10,0.74692200/10,1.85340100/10,50.64673600/10,50.00498400/10,699.79697200/9,964.91159000/8,137.83430000/2,751.51600000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
500,0.41121700/10,0.49894700/10,0.45221400/10,0.56314200/10,0.79054000/10,0.75832600/10,1.73413100/10,5.80882500/10,118.36658000/10,748.29367400/10,1378.94469000/9,957.01690000/4,3767.47630000/5,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
550,0.47450500/10,0.57289100/10,0.65856900/10,0.76596900/10,0.87020000/10,0.97951600/10,2.52036900/10,22.86787800/10,141.58764700/10,1335.89513700/10,2754.98196000/7,905.85800000/2,479.39100000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
600,0.43617200/10,0.67045600/10,0.69304200/10,0.88839600/10,1.19380500/10,1.12842000/10,1.78789200/10,15.10596700/10,130.27534000/10,3830.08567400/10,4090.33600000/5,1892.96100000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
650,0.55758900/10,0.84488200/10,1.13306200/10,1.07660400/10,1.20090600/10,1.50975100/10,7.32683700/10,16.75362900/10,61.73591000/10,5016.50295000/9,2152.18044000/5,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
700,0.74491300/10,0.86532000/10,1.24042500/10,1.35731200/10,1.39767500/10,1.85623600/10,3.80108600/10,117.88184300/10,925.36795000/9,2119.94300000/4,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
750,1.08016800/10,0.98124400/10,1.14926400/10,1.31729000/10,1.71437600/10,2.10545400/10,11.29915200/10,317.45654800/10,5119.03430000/9,5782.00510000/9,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
800,0.94283800/10,1.19269100/10,1.45315900/10,1.82207100/10,2.00328200/10,2.46119700/10,26.84380100/10,124.90091400/10,3517.30620000/9,2273.74000000/3,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
850,1.06013200/10,1.47745100/10,1.57028700/10,1.71899600/10,1.90852200/10,3.35546200/10,51.18778100/10,905.61373000/10,2511.78970000/7,1564.79490000/4,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
900,1.48874100/10,1.31636600/10,1.78173100/10,2.16558600/10,2.39158700/10,3.67737700/10,56.73722500/10,1900.64884800/10,2019.47010000/4,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
950,1.20390300/10,1.85940800/10,2.06363200/10,2.67595300/10,2.64623400/10,14.13558900/10,47.21557100/10,601.72648000/10,821.01730000/5,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
