size,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5
50,1.33200000/10,1.35600000/10,1.36600000/10,1.37100000/10,1.34800000/10,1.10800000/10,0.85400000/10,1.15200000/10,1.39500000/10,1.36600000/10,1.25400000/9,1.11700000/8,1.23800000/9,0.69700000/5,0.27900000/2,0.68200000/5,0.42200000/3,0.14000000/1,0.00000000/0,0.00000000/0,0.00000000/0
100,1.40900000/10,1.38500000/10,1.39500000/10,1.43000000/10,1.41300000/10,1.43200000/10,1.43700000/10,1.44700000/10,1.44400000/10,1.46200000/10,1.34200000/9,1.36500000/10,1.18500000/8,0.89600000/6,0.15600000/1,0.45500000/3,0.00000000/0,0.00000000/0,0.15500000/1,0.00000000/0,0.00000000/0
150,1.45700000/10,1.45700000/10,1.45700000/10,1.47000000/10,1.49500000/10,1.53100000/10,1.54100000/10,1.55300000/10,1.55600000/10,1.63300000/10,1.70500000/9,1.37000000/8,1.27300000/6,0.33500000/2,0.88600000/4,0.41000000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.23500000/1
200,1.46200000/10,1.48300000/10,1.50500000/10,1.48700000/10,1.51900000/10,1.54000000/10,1.61800000/10,1.61100000/10,1.72900000/10,2.02300000/10,2.61100000/8,8.25100000/10,4.31800000/8,0.75800000/3,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
250,1.53900000/10,1.54200000/10,1.58300000/10,1.58800000/10,1.62900000/10,1.62800000/10,1.70800000/10,1.87900000/10,2.07300000/10,2.46600000/10,13.12600000/10,31.95100000/9,34.55100000/5,3.98600000/1,6.36600000/1,14.03900000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
300,1.62200000/10,1.65700000/10,1.67900000/10,1.67900000/10,1.72400000/10,1.72300000/10,1.95000000/10,2.00500000/10,4.54400000/10,23.53600000/10,28.92400000/10,157.02500000/10,613.74200000/7,200.89900000/2,307.01600000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
350,1.69300000/10,1.72900000/10,1.77500000/10,1.79100000/10,1.85400000/10,1.92800000/10,2.01600000/10,5.94200000/10,10.24200000/10,10.59400000/10,579.13300000/10,1685.09800000/10,1015.02600000/4,1038.99900000/2,310.78200000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
400,0.48100000/10,0.50400000/10,0.52800000/10,0.54400000/10,0.59300000/10,0.67400000/10,0.84100000/10,2.69100000/10,12.72200000/10,64.79100000/10,1100.68700000/9,1856.53200000/9,1581.07800000/6,847.20600000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
450,0.75700000/10,0.82800000/10,0.85500000/10,0.90400000/10,0.91800000/10,1.18500000/10,1.88600000/10,5.48500000/10,235.00500000/10,74.80500000/10,3523.56700000/9,3030.05300000/8,1277.14300000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
500,0.83700000/10,0.89700000/10,0.91900000/10,0.93300000/10,1.16600000/10,1.44100000/10,3.24900000/10,29.13200000/10,267.75400000/10,386.91600000/10,816.49400000/7,537.85400000/4,192.12800000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
550,1.22800000/10,1.29600000/10,1.32300000/10,1.41900000/10,1.64900000/10,2.22900000/10,16.55100000/10,78.43100000/10,292.36700000/10,1311.30400000/9,1143.41200000/4,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
600,1.35800000/10,1.43500000/10,1.47800000/10,1.69200000/10,2.40900000/10,3.14300000/10,14.55600000/10,47.80900000/10,667.50700000/9,3776.78000000/7,2199.93900000/4,53.21800000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
